,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,AvgWorkingHours,StdWorkingHours,TotalHours,DaysWorked,OvertimeDays,TotalOvertimeHours,AvgOvertimePerDay
13,47,Yes,Non-Travel,Research & Development,1,1,Medical,1,14,Male,1,Research Scientist,Married,57620,1.0,Y,11,8,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3,9.399931442080378,0.2922665278568033,2208.983888888889,235,235,328.9838888888889,1.3999314420803783
14,28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,15,Male,1,Manufacturing Director,Married,25920,1.0,Y,14,8,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,6.089687644075611,0.2897538656914086,1467.6147222222223,241,0,0.0,0.0
15,37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,16,Male,2,Healthcare Representative,Married,53460,4.0,Y,11,8,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,6.705174636661979,0.3172596432739161,1589.1263888888889,237,0,0.0,0.0
16,21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,17,Male,1,Laboratory Technician,Single,42130,1.0,Y,12,8,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,6.619040626529613,0.3139625364259774,1502.522222222222,227,0,0.0,0.0
17,37,No,Non-Travel,Research & Development,1,3,Medical,1,18,Male,2,Sales Executive,Divorced,41270,2.0,Y,13,8,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,11.014328139114726,0.3096964342975209,2709.5247222222224,246,246,741.5247222222222,3.0143281391147245
18,35,No,Travel_Rarely,Sales,7,4,Life Sciences,1,19,Male,1,Sales Representative,Divorced,24380,7.0,Y,16,8,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3,6.960253831417624,0.314945915821745,1614.7788888888888,232,0,0.0,0.0
19,38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,20,Female,1,Manager,Divorced,68700,1.0,Y,11,8,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3,9.293555796055797,0.2963884015180492,2146.811388888889,231,231,298.81138888888887,1.293555796055796
20,26,No,Travel_Frequently,Research & Development,1,4,Other,1,21,Male,2,Laboratory Technician,Divorced,104470,1.0,Y,18,8,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3,7.590778256704981,0.317876322859857,1761.0605555555555,232,27,3.912222222222225,0.0168630268199233
21,50,No,Travel_Rarely,Sales,8,4,Life Sciences,1,22,Male,1,Research Scientist,Divorced,96670,3.0,Y,23,8,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4,6.008613495469718,0.293009267321181,1400.0069444444443,233,0,0.0,0.0
22,53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,1,23,Female,2,Research Scientist,Married,21480,3.0,Y,11,8,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3,8.402108477011494,0.3029886705353011,1949.2891666666667,232,210,96.11194444444445,0.4142756226053639
23,42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,1,24,Male,1,Manufacturing Director,Married,89260,1.0,Y,14,8,0,10.0,4,20,11,6,2.0,3.0,3.0,1,3,6.8070052800734615,0.3155869205724915,1647.2952777777778,242,0,0.0,0.0
24,29,No,Travel_Frequently,Research & Development,16,4,Medical,1,25,Male,1,Laboratory Technician,Single,65130,1.0,Y,11,8,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3,7.093167388167388,0.3219874360961484,1638.5216666666668,231,1,0.049444444444445,0.0002140452140452
25,55,No,Travel_Rarely,Research & Development,1,4,Other,1,26,Female,1,Research Scientist,Married,67990,3.0,Y,11,8,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3,9.362002074688796,0.2812382254202835,2256.2425,241,241,328.2425,1.3620020746887966
26,26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,27,Female,1,Manager,Married,162910,1.0,Y,22,8,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4,10.977123430962342,0.2966332412542105,2623.5325,239,239,711.5325,2.9771234309623438
27,37,No,Travel_Rarely,Sales,5,1,Marketing,1,28,Male,1,Research Scientist,Single,27050,1.0,Y,11,8,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3,7.604444444444445,0.2958357789663501,1794.648888888889,236,22,2.9936111111111074,0.0126847928436911
28,44,Yes,Travel_Frequently,Research & Development,1,2,Medical,1,29,Male,2,Research Scientist,Divorced,103330,3.0,Y,14,8,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3,10.97758573388203,0.3118214609950568,2667.5533333333333,243,243,723.5533333333333,2.97758573388203
29,38,No,Travel_Rarely,Sales,2,3,Marketing,1,30,Female,1,Manager,Divorced,44480,9.0,Y,12,8,0,10.0,3,2,1,2,4.0,4.0,3.0,2,3,6.8312753623188405,0.2816235668075111,1571.1933333333334,230,0,0.0,0.0
30,26,Yes,Travel_Rarely,Research & Development,4,3,Medical,1,31,Male,3,Research Scientist,Divorced,68540,2.0,Y,11,8,0,5.0,5,3,0,2,1.0,2.0,3.0,2,3,10.10940826330532,0.3076482089710234,2406.0391666666665,238,238,502.0391666666667,2.109408263305322
31,28,No,Travel_Rarely,Research & Development,7,3,Other,1,32,Male,1,Human Resources,Single,96370,1.0,Y,13,8,0,5.0,6,5,0,2,4.0,4.0,3.0,2,3,6.709665977961433,0.2999596428160107,1623.7391666666667,242,0,0.0,0.0
32,49,No,Travel_Frequently,Research & Development,1,1,Medical,1,33,Female,2,Research Scientist,Single,35910,9.0,Y,13,8,0,22.0,2,3,1,2,3.0,1.0,3.0,3,3,10.518214624881292,0.2988444964494485,2461.262222222222,234,234,589.2622222222222,2.518214624881292
33,36,No,Travel_Rarely,Sales,5,3,Technical Degree,1,34,Male,3,Sales Executive,Single,54050,4.0,Y,14,8,0,10.0,2,8,7,7,3.0,2.0,3.0,3,3,6.182887517146776,0.2776026790150543,1502.4416666666666,243,0,0.0,0.0
34,31,No,Travel_Frequently,Research & Development,9,4,Medical,1,35,Male,1,Sales Executive,Divorced,46840,1.0,Y,16,8,1,2.0,4,2,2,2,4.0,2.0,2.0,3,3,6.586388888888889,0.2984167125865238,1580.7333333333331,240,0,0.0,0.0
35,26,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,36,Male,2,Manager,Single,157870,1.0,Y,12,8,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3,10.272241379310344,0.3035182369118389,2383.16,232,232,527.16,2.2722413793103446
36,37,No,Travel_Frequently,Sales,9,1,Marketing,1,37,Male,1,Laboratory Technician,Married,15140,1.0,Y,14,8,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3,9.982733011937558,0.2858516734525314,2415.821388888889,242,242,479.82138888888886,1.9827330119375568
37,42,No,Travel_Frequently,Sales,2,2,Marketing,1,38,Male,3,Research Director,Married,29560,5.0,Y,13,8,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3,5.979567632850242,0.2972133732676857,1375.3005555555555,230,0,0.0,0.0
38,18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,39,Male,1,Sales Executive,Single,23350,1.0,Y,14,8,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3,6.775967939304944,0.2921177931173167,1538.1447222222223,227,0,0.0,0.0
39,35,No,Travel_Rarely,Sales,20,2,Life Sciences,1,40,Male,1,Laboratory Technician,Married,51540,0.0,Y,19,8,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3,7.690160390516039,0.3056256998247583,1837.9483333333333,239,34,4.537222222222221,0.0189841933984193
40,36,No,Travel_Frequently,Research & Development,8,3,Other,1,41,Female,3,Sales Executive,Married,69620,4.0,Y,12,8,2,4.0,2,1,0,0,3.0,3.0,3.0,2,3,7.204732468123861,0.2845449299508923,1757.9547222222222,244,0,0.0,0.0
41,51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,42,Male,2,Laboratory Technician,Divorced,56750,5.0,Y,13,8,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3,7.594769503546099,0.3051429956720003,1784.7708333333333,235,26,3.569166666666669,0.0151879432624113
42,41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,1,43,Male,1,Laboratory Technician,Single,23790,1.0,Y,12,8,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3,6.952642332415059,0.3178550153173411,1682.5394444444444,242,0,0.0,0.0
43,18,No,Travel_Rarely,Sales,7,3,Life Sciences,1,44,Male,1,Research Scientist,Single,38120,1.0,Y,15,8,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3,7.008878472222222,0.3149531071288213,1682.1308333333334,240,0,0.0,0.0
44,28,No,Travel_Rarely,Research & Development,9,3,Medical,1,45,Male,1,Sales Representative,Single,46480,0.0,Y,23,8,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4,7.201573315118398,0.2958945645712391,1757.183888888889,244,1,0.0411111111111104,0.0001684881602914
45,31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,1,46,Male,1,Manufacturing Director,Married,29360,4.0,Y,12,8,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3,7.172875,0.3081703336728252,1721.49,240,2,0.0380555555555552,0.0001585648148148
46,39,No,Travel_Rarely,Sales,5,4,Marketing,1,47,Female,2,Human Resources,Divorced,21050,0.0,Y,20,8,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4,7.636801418439716,0.3116720861036216,1794.6483333333333,235,28,5.102499999999997,0.0217127659574467
47,36,No,Non-Travel,Research & Development,5,4,Life Sciences,1,48,Male,1,Sales Executive,Married,85780,7.0,Y,21,8,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4,7.83278129395218,0.2961809089177021,1856.3691666666664,237,62,11.984722222222215,0.0505684481950304
48,32,No,Travel_Rarely,Sales,2,3,Marketing,1,49,Male,2,Laboratory Technician,Married,27060,1.0,Y,21,8,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4,6.974765051395008,0.3119167284795887,1583.2716666666668,227,0,0.0,0.0
49,38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,50,Female,3,Research Scientist,Married,63840,3.0,Y,19,8,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3,6.906424220272905,0.289615187777074,1574.6647222222225,228,0,0.0,0.0
50,58,No,Non-Travel,Research & Development,2,3,Life Sciences,1,51,Male,2,Manufacturing Director,Divorced,39680,2.0,Y,13,8,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3,10.895463728191,0.3042054456932412,2636.702222222222,242,242,700.7022222222222,2.8954637281910007
51,31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,1,52,Female,3,Research Scientist,Married,99070,0.0,Y,13,8,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3,9.12566572902016,0.3031655721188994,2162.782777777778,237,237,266.78277777777777,1.1256657290201593
52,31,No,Travel_Rarely,Sales,7,4,Marketing,1,53,Male,2,Sales Executive,Married,132250,3.0,Y,21,8,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4,6.831459786145978,0.2790618125054992,1632.7188888888888,239,0,0.0,0.0
53,45,No,Travel_Frequently,Research & Development,3,1,Medical,1,54,Female,1,Sales Executive,Divorced,35400,1.0,Y,13,8,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3,7.3160499058380415,0.3104232425048928,1726.5877777777778,236,5,0.3380555555555524,0.0014324387947269
54,31,No,Travel_Rarely,Sales,16,4,Marketing,1,55,Female,2,Research Scientist,Divorced,28040,0.0,Y,19,8,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3,8.610798041894354,0.3115838921999741,2101.034722222222,244,237,149.77083333333334,0.6138148907103825
55,33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,56,Male,4,Research Director,Married,193920,6.0,Y,12,8,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3,6.784845288326301,0.2950064383650507,1608.0083333333334,237,0,0.0,0.0
56,39,No,Travel_Rarely,Sales,1,4,Life Sciences,1,57,Male,1,Sales Executive,Married,196650,1.0,Y,22,8,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4,10.98609977324263,0.3159426398769555,2691.5944444444444,245,245,731.5944444444444,2.98609977324263
57,43,No,Travel_Frequently,Research & Development,7,4,Medical,1,58,Male,4,Research Scientist,Single,24390,0.0,Y,15,8,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3,7.68658467939305,0.3027352732521384,1744.8547222222223,227,39,5.291111111111109,0.0233088595203132
58,49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,59,Male,3,Manufacturing Director,Single,73140,7.0,Y,22,8,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4,9.948856881572931,0.3131942908594044,2417.572222222222,243,243,473.5722222222222,1.9488568815729308
59,52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,1,60,Female,2,Research Scientist,Married,47740,2.0,Y,18,8,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3,7.905527661552766,0.3120189510407192,1889.421111111111,239,93,19.936666666666667,0.0834170153417015
60,27,No,Travel_Rarely,Research & Development,15,4,Medical,1,61,Male,3,Research Scientist,Single,39020,1.0,Y,22,8,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4,10.67241461748634,0.3016282855220779,2604.0691666666667,244,244,652.0691666666667,2.672414617486339
61,32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,62,Male,3,Research Scientist,Married,26620,1.0,Y,11,8,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3,10.496171548117156,0.2915206454350031,2508.585,239,239,596.585,2.496171548117155
62,27,No,Travel_Rarely,Research & Development,13,2,Medical,1,63,Female,4,Research Director,Single,28560,1.0,Y,12,8,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3,10.069261664261663,0.3127089725242034,2325.9994444444446,231,231,477.99944444444446,2.0692616642616644
63,31,No,Travel_Rarely,Sales,24,3,Life Sciences,1,64,Male,2,Healthcare Representative,Divorced,10810,4.0,Y,11,8,3,13.0,4,7,1,7,4.0,4.0,3.0,4,3,6.607014174668496,0.2947691705712395,1605.5044444444443,243,0,0.0,0.0
64,32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,65,Male,2,Healthcare Representative,Single,24720,7.0,Y,13,8,0,10.0,2,7,0,7,1.0,4.0,2.0,3,3,7.497914908579466,0.2832914658104324,1777.0058333333334,237,12,1.1836111111111125,0.0049941397093295
65,28,Yes,Travel_Rarely,Research & Development,9,4,Medical,1,66,Male,1,Sales Executive,Married,56730,5.0,Y,14,8,1,5.0,4,3,2,2,1.0,4.0,2.0,2,3,10.727235717498877,0.2729194524850313,2649.6272222222224,247,247,673.6272222222223,2.727235717498876
66,30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,1,67,Female,4,Research Director,Married,41970,1.0,Y,13,8,0,11.0,3,10,1,9,4.0,4.0,3.0,3,3,6.184816810344828,0.3013547077098444,1434.8775,232,0,0.0,0.0
67,31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,68,Female,1,Manager,Married,97130,1.0,Y,17,8,0,10.0,5,10,8,9,3.0,3.0,3.0,2,3,6.609300048947627,0.278906284751874,1500.3111111111111,227,0,0.0,0.0
68,39,No,Travel_Frequently,Research & Development,19,4,Medical,1,69,Female,1,Research Scientist,Married,20620,1.0,Y,13,8,0,21.0,4,21,13,3,3.0,4.0,3.0,3,3,6.07624634502924,0.2804976538442188,1385.3841666666667,228,0,0.0,0.0
69,39,Yes,Travel_Rarely,Research & Development,1,1,Medical,1,70,Female,1,Laboratory Technician,Married,42840,4.0,Y,17,8,1,12.0,0,1,0,0,4.0,3.0,2.0,3,3,9.971745709123756,0.2854873603251528,2453.0494444444444,246,246,485.0494444444445,1.971745709123758
70,33,No,Travel_Frequently,Sales,4,2,Life Sciences,1,71,Male,4,Research Scientist,Single,47880,3.0,Y,11,8,1,9.0,0,7,0,1,2.0,4.0,2.0,3,3,7.42145202020202,0.2917561304865799,1795.9913888888889,242,5,0.2425000000000015,0.0010020661157024
71,47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,72,Female,2,Healthcare Representative,Married,59060,4.0,Y,23,8,0,21.0,4,3,1,1,4.0,3.0,3.0,4,4,6.493810013717422,0.2847527394155275,1577.9958333333334,243,0,0.0,0.0
72,43,No,Travel_Frequently,Research & Development,14,3,Medical,1,73,Female,5,Research Director,Divorced,38860,1.0,Y,17,8,2,9.0,2,9,0,0,3.0,3.0,4.0,3,3,6.299470449172577,0.2845542656240089,1480.3755555555556,235,0,0.0,0.0
73,27,No,Non-Travel,Research & Development,2,3,Life Sciences,1,74,Male,1,Research Director,Married,168230,0.0,Y,17,8,0,6.0,3,5,1,4,3.0,2.0,3.0,3,3,9.316973304473304,0.2913385625814041,2152.2208333333333,231,231,304.2208333333333,1.3169733044733043
74,54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,75,Male,2,Research Scientist,Single,29330,3.0,Y,12,8,2,20.0,2,4,0,3,4.0,3.0,2.0,3,3,6.097862787356322,0.2879511325468832,1414.7041666666669,232,0,0.0,0.0
75,43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,76,Female,2,Manager,Married,65000,8.0,Y,23,8,0,10.0,3,1,0,0,3.0,1.0,2.0,3,4,7.217327264239029,0.2859770280849072,1717.723888888889,238,0,0.0,0.0
76,45,No,Travel_Rarely,Sales,3,1,Marketing,1,77,Female,1,Sales Executive,Married,171740,9.0,Y,14,8,1,12.0,6,10,9,8,4.0,4.0,3.0,3,3,7.100070018365472,0.3020577499190228,1718.2169444444444,242,0,0.0,0.0
77,40,No,Travel_Rarely,Research & Development,2,4,Other,1,78,Male,4,Research Scientist,Married,50330,2.0,Y,14,8,2,6.0,6,4,0,2,2.0,4.0,2.0,3,3,9.914107744107744,0.2982920757272086,2290.1588888888887,231,231,442.1588888888889,1.914107744107744
78,29,Yes,Travel_Rarely,Research & Development,29,3,Medical,1,79,Female,1,Research Scientist,Married,23070,1.0,Y,13,8,1,7.0,0,7,0,7,2.0,1.0,2.0,3,3,10.477788647342994,0.3013667810340339,2409.8913888888887,230,230,569.8913888888889,2.477788647342995
79,29,No,Travel_Rarely,Human Resources,8,3,Medical,1,80,Male,3,Sales Representative,Single,25870,0.0,Y,22,8,2,4.0,3,3,2,2,2.0,4.0,3.0,3,4,6.906938633193864,0.2945512458116299,1650.7583333333334,239,0,0.0,0.0
80,30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,81,Male,2,Research Scientist,Divorced,55070,1.0,Y,12,8,2,10.0,2,10,1,2,4.0,3.0,3.0,2,3,7.589092432950192,0.3033947116335247,1760.6694444444445,232,20,3.232499999999998,0.0139331896551724
81,27,No,Travel_Rarely,Research & Development,11,2,Medical,1,82,Male,1,Manager,Married,43930,1.0,Y,18,8,1,8.0,2,8,0,7,2.0,2.0,3.0,2,3,6.079724499089253,0.2943418133372728,1483.4527777777778,244,0,0.0,0.0
82,37,No,Travel_Rarely,Sales,1,4,Life Sciences,1,83,Male,2,Healthcare Representative,Divorced,133480,7.0,Y,14,8,0,8.0,4,6,0,4,4.0,4.0,2.0,3,3,6.001112288135594,0.2869876466163706,1416.2625,236,0,0.0,0.0
83,38,No,Travel_Rarely,Research & Development,28,4,Medical,1,84,Male,1,Laboratory Technician,Divorced,65830,0.0,Y,12,8,0,12.0,1,11,2,9,3.0,4.0,3.0,3,3,8.983123278236915,0.3033705166083599,2173.915833333333,242,242,237.91583333333332,0.9831232782369148
84,31,No,Travel_Rarely,Research & Development,6,3,Medical,1,85,Female,3,Manager,Single,81030,1.0,Y,15,8,1,11.0,5,11,4,10,3.0,4.0,3.0,3,3,10.426184640522877,0.3131386822963049,2481.4319444444445,238,238,577.4319444444444,2.426184640522876
85,29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,86,Male,3,Sales Executive,Divorced,39780,1.0,Y,11,8,0,7.0,0,7,1,7,4.0,2.0,3.0,3,3,8.387526183970856,0.2728097417986211,2046.556388888889,244,225,97.43916666666668,0.3993408469945355
86,35,No,Travel_Rarely,Sales,16,2,Technical Degree,1,87,Male,3,Manager,Single,25440,0.0,Y,13,8,1,17.0,3,16,0,13,3.0,2.0,3.0,4,3,7.912038626609442,0.29151719521946,1843.505,233,95,17.913333333333327,0.0768812589413447
87,23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,1,88,Male,1,Manufacturing Director,Divorced,53990,1.0,Y,23,8,0,4.0,2,4,0,2,3.0,4.0,2.0,2,4,7.105291842475387,0.291581088575411,1683.9541666666669,237,1,0.0552777777777784,0.0002332395686826
88,41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,89,Female,1,Laboratory Technician,Single,54870,6.0,Y,19,8,2,8.0,0,5,1,2,4.0,2.0,3.0,3,3,9.68863319386332,0.2863867818652612,2315.583333333333,239,239,403.5833333333333,1.6886331938633192
89,47,No,Travel_Frequently,Sales,1,3,Medical,1,90,Female,2,Laboratory Technician,Single,68340,3.0,Y,16,8,1,5.0,2,0,0,0,2.0,3.0,3.0,4,3,7.770347512784752,0.3013260125248706,1857.1130555555555,239,52,8.501944444444447,0.0355729893072989
90,42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,91,Male,1,Manager,Single,10910,2.0,Y,22,8,0,16.0,0,1,0,0,1.0,4.0,3.0,1,4,6.284280356305673,0.2970647525484169,1489.3744444444444,237,0,0.0,0.0
91,29,No,Non-Travel,Sales,22,4,Marketing,1,92,Male,2,Human Resources,Married,57360,1.0,Y,22,8,0,4.0,1,4,0,2,4.0,3.0,2.0,2,4,6.306108726752504,0.3147514859255346,1469.3233333333333,233,0,0.0,0.0
92,42,No,Travel_Rarely,Sales,7,4,Medical,1,93,Male,3,Research Scientist,Divorced,22260,0.0,Y,12,8,1,4.0,3,3,1,0,3.0,3.0,3.0,2,3,8.831585038986354,0.3114763351845712,2013.6013888888888,228,227,189.6861111111111,0.8319566276803119
93,32,No,Travel_Rarely,Research & Development,2,3,Medical,1,94,Male,2,Research Scientist,Married,57470,1.0,Y,13,8,0,8.0,0,8,0,7,3.0,2.0,3.0,3,3,7.722377344877344,0.3036703829425293,1783.8691666666666,231,45,6.360555555555553,0.0275348725348725
94,48,No,Travel_Rarely,Sales,13,4,Medical,1,95,Male,4,Sales Executive,Married,98540,3.0,Y,16,8,1,15.0,2,0,0,0,1.0,3.0,1.0,2,3,7.317479732951836,0.2713736160733709,1704.9727777777778,233,1,0.0213888888888895,9.179780639008398e-05
95,37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,1,96,Male,2,Manufacturing Director,Divorced,54670,4.0,Y,12,8,0,13.0,2,7,6,7,3.0,1.0,3.0,3,3,10.798262483130904,0.2956162887590213,2667.170833333333,247,247,691.1708333333333,2.7982624831309044
96,30,No,Non-Travel,Sales,25,4,Other,1,97,Male,1,Healthcare Representative,Married,53800,7.0,Y,21,8,1,4.0,0,2,2,2,4.0,3.0,4.0,3,4,10.40136394557823,0.304398250259148,2548.3341666666665,245,245,588.3341666666666,2.401363945578231
97,26,No,Travel_Rarely,Sales,28,3,Medical,1,98,Female,5,Laboratory Technician,Married,51510,1.0,Y,15,8,3,8.0,3,8,7,7,3.0,3.0,3.0,3,3,5.994326703246457,0.3034083959339801,1456.621388888889,243,0,0.0,0.0
